blind_id,pair_id,clip_id,script
01,5,05a,roman
02,20,20b,devanagari
03,8,08a,roman
04,1,01b,devanagari
05,3,03a,roman
06,16,16b,devanagari
07,11,11a,roman
08,9,09b,devanagari
09,7,07b,devanagari
10,11,11b,devanagari
11,1,01a,roman
12,4,04b,devanagari
13,2,02b,devanagari
14,6,06a,roman
15,4,04a,roman
16,2,02a,roman
17,18,18a,roman
18,15,15b,devanagari
19,14,14b,devanagari
20,10,10a,roman
21,18,18b,devanagari
22,5,05b,devanagari
23,13,13b,devanagari
24,3,03b,devanagari
25,9,09a,roman
26,19,19a,roman
27,12,12a,roman
28,17,17b,devanagari
29,15,15a,roman
30,19,19b,devanagari
31,17,17a,roman
32,6,06b,devanagari
33,16,16a,roman
34,14,14a,roman
35,12,12b,devanagari
36,8,08b,devanagari
37,13,13a,roman
38,7,07a,roman
39,20,20a,roman
40,10,10b,devanagari
