job_id,cell,speaker,pool,reference_wav,transcript,transcript_source,script_class,language,tool,output_path,seed
1,deva_hi,903756,train,refs/903756.wav,yah achchhaa lagegaa yadi aap sirph ek image kaa thoraa bhaag copy karte hai aur phir us image men kheenchate hain jahaan aap ise rakhnaa chaahte hain,यह अच्छा लगेगा यदि आप सिर्फ एक image का थोड़ा भाग copy करते है और फिर उस image में खींचते हैं जहां आप इसे रखना चाहते हैं,mostly_devanagari,hi,xtts_v2,outputs/deva_hi_01_903756.wav,1235
2,deva_hi,186783,train,refs/186783.wav,aap yahaan dekh sakte hain ki yahaan gimp brashon ke lie ek link diyaa gayaa hai aur deviantart aur any vebsaaeeton par bahut see brashen maujood hain,आप यहाँ देख सकते हैं कि यहाँ gimp ब्रशों के लिए एक link दिया गया है और deviantart और अन्य वेबसाईटों पर बहुत see ब्रशें मौजूद हैं,mostly_devanagari,hi,xtts_v2,outputs/deva_hi_02_186783.wav,1236
3,deva_hi,987461,train,refs/987461.wav,aglaa icon aksharon ke beech ko ke sthaan ko vyavasthit karne men madad kartaa hai dobaaraa ap aur down arrows par click karen aur badlaavon ko dekhen,अगला icon अक्षरों के बीच को के स्थान को व्यवस्थित करने में मदद करता है दोबारा अप और down arrows पर click करें और बदलावों को देखें,mostly_devanagari,hi,xtts_v2,outputs/deva_hi_03_987461.wav,1237
4,deva_hi,177570,train,refs/177570.wav,yah spokan tyootoriyal projekt ko saaraanshit kartaa hai yadi aapke paas achchhaa baindavith naheen hai to aap ise daaunlod karke bhee dekh sakte hain,यह स्पोकन ट्यूटोरियल प्रोजेक्ट को सारांशित करता है यदि आपके पास अच्छा बैंडविथ नहीं है तो आप इसे डाउनलोड करके भी देख सकते हैं,mostly_devanagari,hi,xtts_v2,outputs/deva_hi_04_177570.wav,1238
5,deva_hi,850754,train,refs/850754.wav,alias usee kantent ke lie ek vaikalpik url path hai ham usee kantent ko pradarshit karne ke lie yaa to mool yaa kaee aliases men se ek chun sakte hain,alias उसी कंटेंट के लिए एक वैकल्पिक url path है हम उसी कंटेंट को प्रदर्शित करने के लिए या तो मूल या कई aliases में से एक चुन सकते हैं,mostly_devanagari,hi,xtts_v2,outputs/deva_hi_05_850754.wav,1239
6,latn_hi,903756,train,refs/903756.wav,shell variable kee value kyaa hai dekhne ke lie echo space dollar shell terminal par echo space dollar shell capital men type karen aur enter dabaayen,shell variable की value क्या है देखने के लिए echo space dollar shell terminal पर echo space dollar shell capital में type करें और enter दबायें,mostly_latin,hi,xtts_v2,outputs/latn_hi_06_903756.wav,1240
7,latn_hi,186783,train,refs/186783.wav,shell variable kee value kyaa hai dekhne ke lie echo space dollar shell terminal par echo space dollar shell capital men type karen aur enter dabaayen,shell variable की value क्या है देखने के लिए echo space dollar shell terminal पर echo space dollar shell capital में type करें और enter दबायें,mostly_latin,hi,xtts_v2,outputs/latn_hi_07_186783.wav,1241
8,latn_hi,987461,train,refs/987461.wav,sed space n space single quotes men front slash square bracket kholen cc square bracket band karen omputers/p single quotes ke baad space seddemo txt,sed space n space single quotes में front slash square bracket खोलें cc square bracket बंद करें omputers/p single quotes के बाद space seddemo txt,mostly_latin,hi,xtts_v2,outputs/latn_hi_08_987461.wav,1242
9,latn_hi,177570,train,refs/177570.wav,grep space hyphen e space double quotes men electronics quotes ke baad space hyphen e space double quotes men civil quotes ke baad space grepdemo txt,grep space hyphen e space double quotes में electronics quotes के बाद space hyphen e space double quotes में civil quotes के बाद space grepdemo txt,mostly_latin,hi,xtts_v2,outputs/latn_hi_09_177570.wav,1243
10,latn_hi,850754,train,refs/850754.wav,grep space hyphen e space double quotes men electronics quotes ke baad space hyphen e space double quotes men civil quotes ke baad space grepdemo txt,grep space hyphen e space double quotes में electronics quotes के बाद space hyphen e space double quotes में civil quotes के बाद space grepdemo txt,mostly_latin,hi,xtts_v2,outputs/latn_hi_10_850754.wav,1244
11,latn_en,903756,train,refs/903756.wav,shell variable kee value kyaa hai dekhne ke lie echo space dollar shell terminal par echo space dollar shell capital men type karen aur enter dabaayen,shell variable की value क्या है देखने के लिए echo space dollar shell terminal पर echo space dollar shell capital में type करें और enter दबायें,mostly_latin,en,xtts_v2,outputs/latn_en_11_903756.wav,1245
12,latn_en,186783,train,refs/186783.wav,shell variable kee value kyaa hai dekhne ke lie echo space dollar shell terminal par echo space dollar shell capital men type karen aur enter dabaayen,shell variable की value क्या है देखने के लिए echo space dollar shell terminal पर echo space dollar shell capital में type करें और enter दबायें,mostly_latin,en,xtts_v2,outputs/latn_en_12_186783.wav,1246
13,latn_en,987461,train,refs/987461.wav,sed space n space single quotes men front slash square bracket kholen cc square bracket band karen omputers/p single quotes ke baad space seddemo txt,sed space n space single quotes में front slash square bracket खोलें cc square bracket बंद करें omputers/p single quotes के बाद space seddemo txt,mostly_latin,en,xtts_v2,outputs/latn_en_13_987461.wav,1247
14,latn_en,177570,train,refs/177570.wav,grep space hyphen e space double quotes men electronics quotes ke baad space hyphen e space double quotes men civil quotes ke baad space grepdemo txt,grep space hyphen e space double quotes में electronics quotes के बाद space hyphen e space double quotes में civil quotes के बाद space grepdemo txt,mostly_latin,en,xtts_v2,outputs/latn_en_14_177570.wav,1248
15,latn_en,850754,train,refs/850754.wav,grep space hyphen e space double quotes men electronics quotes ke baad space hyphen e space double quotes men civil quotes ke baad space grepdemo txt,grep space hyphen e space double quotes में electronics quotes के बाद space hyphen e space double quotes में civil quotes के बाद space grepdemo txt,mostly_latin,en,xtts_v2,outputs/latn_en_15_850754.wav,1249
16,mixed_hi,903756,train,refs/903756.wav,udaaharnasvarup yah image slash png yaa image slash jpeg image slash bmp  video slash avi aur video slash mpeg yaa koee aur any praaroop ho saktaa hai,उदाहरणस्वरुप यह image slash png या image slash jpeg image slash bmp  video slash avi और video slash mpeg या कोई और अन्य प्रारूप हो सकता है,mixed,hi,xtts_v2,outputs/mixed_hi_16_903756.wav,1250
17,mixed_hi,186783,train,refs/186783.wav,unko pramaanpatr bhee details hain jo online test pass karte hain adhik jaankaaree ke lie kripyaa hamen contact @spoken hyphen tutorial org par likhen,उनको प्रमाणपत्र भी details हैं जो online test pass करते हैं अधिक जानकारी के लिए कृपया हमें contact @spoken hyphen tutorial org पर लिखें,mixed,hi,xtts_v2,outputs/mixed_hi_17_186783.wav,1251
18,mixed_hi,987461,train,refs/987461.wav,yahaan settings taib men url alias pattern ko control karne ke lie adhik options uplabdh hain yahaan ham dipholt separator length aadi dekh sakte hain,यहाँ settings टैब में url alias pattern को control करने के लिए अधिक options उपलब्ध हैं यहाँ हम डिफॉल्ट separator length आदि देख सकते हैं,mixed,hi,xtts_v2,outputs/mixed_hi_18_987461.wav,1252
19,mixed_hi,177570,train,refs/177570.wav,yadi main is tarah se is image ko rakhtee hoon to aap cloning ke nishaan dekh sakenge lekin jab main comic mode men kholoongee to ve nasht ho jaayenge,यदि मैं इस तरह से इस image को रखती हूँ तो आप cloning के निशान देख सकेंगे लेकिन जब मैं comic mode में खोलूँगी तो वे नष्ट हो जायेंगे,mixed,hi,xtts_v2,outputs/mixed_hi_19_177570.wav,1253
20,mixed_hi,850754,train,refs/850754.wav,aglaa sip media type hai sip media type keval tabhee laagoo hotaa hai jab aapkee laaibreree men sortar yaa lokar suvidhaa kaa upyog kiyaa jaa rahaa ho,अगला sip media type है sip media type केवल तभी लागू होता है जब आपकी लाइब्रेरी में सॉर्टर या लॉकर सुविधा का उपयोग किया जा रहा हो,mixed,hi,xtts_v2,outputs/mixed_hi_20_850754.wav,1254
